2 1 150 0.052929
2 2 150 0.038668
2 3 150 0.033114
2 4 150 0.035846
2 5 150 0.036708
2 6 150 0.036149
2 7 150 0.036774
2 8 150 0.037336
2 9 150 0.037568
2 10 150 0.036963
2 11 150 0.038939
2 12 150 0.038326
2 13 150 0.038271
2 14 150 0.037142
2 15 150 0.036443
2 16 150 0.035919
2 17 150 0.036834
2 18 150 0.036651
2 19 150 0.036352
2 20 150 0.035440
2 21 150 0.036465
2 22 150 0.039742
2 23 150 0.036553
2 24 150 0.037970
2 25 150 0.036910
2 26 150 0.037044
2 27 150 0.038579
2 28 150 0.036082
2 29 150 0.039757
2 30 150 0.036951
2 31 150 0.039317
2 32 150 0.036334
